lat,lon,temperature [oC],soil moisture [m3/m3],pH_H2O_0-30cm [-],SOC_0-30cm [wt%],NPP [gC/m/yr],porosity [-],BS_0-20cm [%],nitrification rate [kgN/ha/day],runoff [m/yr],erosion [mm/yr],CEC_0-30cm [cmol/kg],cropland [%],OC_input_gC_per_m2_per_yr,log_tau_OC_yr,log_KH_per_Na,log_Ca_M
29.5,-99.5,19.47732925415040,0.2230507582426070,7.35,1.9433333333333300,342.55241561050700,0.449999988079071,95.75611111111110,0.1119054704904560,0.1301884623118620,2.1745254345344300,35.0026599363954,16.0,1221.329276,0.5629247527757540,5.993129123,-2.040530857983660
29.5,-98.5,20.211261749267600,0.2375953197479250,7.3,1.995,371.5263126035610,0.449999988079071,88.50732728541520,0.1243505105376240,0.1843343630209320,2.1745254345344300,33.576563118039000,24.0,1766.333704,0.3291900774132810,6.096828987,-2.1077654150231500
29.5,-97.5,20.26688575744630,0.2586056888103490,7.133333333333330,1.2766666666666700,506.1410269834730,0.449999988079071,88.18375,0.1386336237192150,0.1829572348720840,2.1745254345344300,10.398111421311100,37.0,684.5437298,0.6873938826521810,5.807365274,-2.4602714775770300
29.5,-96.5,20.121641159057600,0.2683836817741390,6.65,1.38,563.1928234575950,0.449999988079071,83.41152777777780,0.1252203434705730,0.3056270332904200,2.1745254345344300,9.23430843083597,59.0,580.9043966,0.830130607691238,5.750217671,-2.6806403782082400
29.5,-95.5,20.37989044189450,0.2676318883895870,6.6000000000000000,2.9650000000000000,444.41558448568000,0.449999988079071,88.81380602392280,0.1161948889493940,0.6127751468208780,2.1745254345344300,44.194548835686400,44.0,1858.071374,0.47444773992269900,5.88511467,-2.1826224457676500
29.5,-90.5,20.522735595703100,0.2635058760643010,5.300000000000000,2.876666666666670,447.8034462313270,0.4370000064373020,61.8820724438331,0.0090605486184358,0.6252634042221160,0.8648680705534660,47.02620371661170,15.0,,,,
29.5,-82.5,20.62892341613770,0.1864544749259950,4.983333333333330,1.595,832.3958724298090,0.4189999997615810,56.74310605515160,0.0592114441096782,0.3953960202252790,0.8401575542519390,0.0,29.0,2657.137842,0.2721190861604790,5.362333465,-3.3625967290119800
29.5,-81.5,20.83100700378420,0.1816278547048570,5.633333333333330,4.078333333333330,847.7565324580400,0.4189999997615810,46.52167287504230,0.0155698154121637,0.3834232958294190,0.8401575542519390,0.0,13.0,,,,
30.5,-104.5,16.45859718322750,0.1759922802448270,8.05,0.7766666666666670,171.3395621717860,0.4469999969005580,89.72430555555560,0.101258598268032,0.0283824164588535,2.1745254345344300,19.68897336586710,2.0,,,,
30.5,-103.5,16.51456642150880,0.1834803372621540,7.45,1.83,183.5862343195380,0.4469999969005580,90.96944444444440,0.1135875880718230,0.0469224702808432,2.1745254345344300,16.723473080229700,4.0,,,,
30.5,-102.5,17.59988784790040,0.1869447231292720,7.800000000000000,0.9216666666666670,181.455653686411,0.4469999969005580,88.37388888888890,0.1254572719335560,0.0535984927681991,2.1745254345344300,22.299999237060500,6.0,,,,
30.5,-101.5,18.39236640930180,0.1935997009277340,7.85,1.211666666666670,240.7313023262430,0.4469999969005580,88.265,0.1339019387960430,0.0792784068758553,2.1745254345344300,22.299999237060500,12.0,,,,
30.5,-100.5,18.009492874145500,0.2055813819170000,7.65,1.8833333333333300,293.9839718956080,0.449999988079071,95.8938888888889,0.1007026582956310,0.1180032334230320,2.1745254345344300,51.0,13.0,,,,
30.5,-99.5,18.209604263305700,0.2170948088169100,7.550000000000000,2.046666666666670,334.276408233004,0.449999988079071,94.10416666666670,0.0811267495155334,0.1270123948487540,2.1745254345344300,43.823035406673300,16.0,,,,
30.5,-98.5,18.86801147460940,0.2302390336990360,6.6,1.518333333333330,361.5245770799310,0.449999988079071,89.79286013692890,0.1043755412101750,0.1440135601023610,2.1745254345344300,18.048385101538200,19.0,1036.279027,0.6207226751926740,6.555498401,-1.9399502663277000
